Party,Loss,Accuracy,Precision
0, 0.5613335409164428,-1, 0.9
1, 0.5304374681949615, 0.8284, 0.89
0, 0.47934435892105104,-1, 0.91
1, 0.5276380624532699, 0.8408, 0.89
0, 0.5756847783088684,-1, 0.88
1, 0.6094747997879982, 0.7926, 0.88
0, 0.48888886404037474,-1, 0.92
1, 0.6546229072093963, 0.7796, 0.91
0, 0.5311512738227844,-1, 0.9
1, 0.5941358909606934, 0.8122, 0.89
0, 0.5338255385398865,-1, 0.92
1, 0.481229492521286, 0.849, 0.91
0, 0.46862097549438475,-1, 0.91
1, 0.49697267010211943, 0.8418, 0.89
0, 0.5912033946990967,-1, 0.89
1, 0.6862726243972779, 0.743, 0.89
0, 0.6206234870910644,-1, 0.89
1, 0.4770035106658936, 0.8554, 0.91
0, 0.570611696434021,-1, 0.89
1, 0.5821695701599121, 0.822, 0.9
0, 0.6620874572753906,-1, 0.89
1, 0.6071265610456467, 0.8022, 0.89
0, 0.8787607982635498,-1, 0.88
1, 0.5882740379333496, 0.7888, 0.89
0, 0.5910145126342773,-1, 0.89
1, 0.653131397151947, 0.779, 0.89
0, 0.7238495916366577,-1, 0.88
1, 0.7293499737501145, 0.7756, 0.88
0, 0.5624497260093689,-1, 0.9
1, 0.5429087871789933, 0.8344, 0.9
0, 0.7019467330932617,-1, 0.87
1, 0.5131749825954437, 0.8388, 0.9
0, 0.6037316717147827,-1, 0.89
1, 0.5539120832443237, 0.8174, 0.9
0, 0.5483282169342041,-1, 0.89
1, 0.5419444558382034, 0.8314, 0.89
0, 0.49025866374969485,-1, 0.91
1, 0.7764888567924499, 0.7606, 0.88
0, 0.5748082828998565,-1, 0.89
1, 0.489822091281414, 0.8546, 0.91
0, 0.5818185636520385,-1, 0.91
1, 1.0341078632354737, 0.68, 0.87
0, 0.4921692377090454,-1, 0.9
1, 0.5339031774520874, 0.8392, 0.91
0, 0.5883758367538452,-1, 0.89
1, 0.5980815514564514, 0.8038, 0.89
0, 0.6044212085723877,-1, 0.88
1, 0.6027091467857361, 0.7878, 0.89
0, 0.5615469083786011,-1, 0.89
1, 0.47552113428115844, 0.851, 0.91
0, 0.701084797668457,-1, 0.88
1, 0.493167600440979, 0.8384, 0.9
0, 0.47688883714675906,-1, 0.91
1, 0.4915556162118912, 0.8462, 0.91
0, 0.46829649658203126,-1, 0.92
1, 0.5791405683994293, 0.812, 0.89
0, 0.5781200843811035,-1, 0.88
1, 0.5489719040632248, 0.8274, 0.9
0, 0.542276598739624,-1, 0.89
1, 0.47241107704639435, 0.8506, 0.91
0, 0.47371887483596803,-1, 0.91
1, 0.4716913744211197, 0.8548, 0.92
0, 0.48135264530181887,-1, 0.91
1, 0.6035125668764114, 0.7958, 0.89
0, 0.7286966920852661,-1, 0.88
1, 0.48589995584487916, 0.8462, 0.9
0, 0.5720590866088867,-1, 0.9
1, 0.6145813410282135, 0.7954, 0.89
0, 0.45288694877624514,-1, 0.9
1, 0.9129529863357544, 0.733, 0.86
0, 0.5325086234092712,-1, 0.9
1, 0.5587892910957336, 0.8306, 0.89
0, 0.49786801872253417,-1, 0.9
1, 0.5335555848360062, 0.8274, 0.89
0, 0.5845646079063416,-1, 0.9
1, 0.5708319979667663, 0.8062, 0.89
0, 0.5725924098014832,-1, 0.88
1, 0.723897574520111, 0.7928, 0.89
0, 0.593118456363678,-1, 0.9
1, 0.5304255878448486, 0.8258, 0.91
0, 0.6999234363555908,-1, 0.87
1, 0.6100801552295685, 0.8016, 0.89
0, 0.4979861967563629,-1, 0.9
1, 0.5229647142887115, 0.85, 0.9
0, 0.4820698148727417,-1, 0.91
1, 0.5496162084579468, 0.8212, 0.9
0, 0.7462785743713379,-1, 0.87
1, 0.46149167852401735, 0.8612, 0.91
0, 0.671295046377182,-1, 0.88
1, 0.47598684294223786, 0.8542, 0.91
0, 0.6152554582595825,-1, 0.9
1, 0.6396947041749954, 0.7768, 0.88
